oid,mode,shell_thickness,phase_days,mjd,template_tag,tdust,tau,scale,chi2,dof,chi2_red,npz_path,folder,n_ul_active,tstar_dummy
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,400.0,4.0,1.7367182584566999e-12,1.272148577660231,3,0.4240495258867436,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_4_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau4_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,600.0,3.0,1.2478577334547562e-12,1.4720273535991435,3,0.4906757845330478,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_600_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td600_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,500.0,3.0,1.4662689708809152e-12,1.812223546583194,3,0.6040745155277313,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,300.0,4.0,1.8175756488255757e-12,1.9362430051226704,3,0.6454143350408901,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_4_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau4_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,900.0,2.0,8.563807130998908e-13,2.331953272109542,3,0.7773177573698473,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_900_tau_2_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td900_tau2_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,200.0,4.0,1.8252274952511893e-12,2.467069765051207,3,0.8223565883504023,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_4_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau4_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,100.0,4.0,1.825248305790362e-12,2.486114067564992,3,0.8287046891883306,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_4_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau4_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,50.0,4.0,1.825248305790362e-12,2.486114067564992,3,0.8287046891883306,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_4_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau4_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,1000.0,2.0,7.753827011586202e-13,2.9630289223020827,3,0.9876763074340276,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1000_tau_2_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1000_tau2_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,800.0,2.0,9.63151115490042e-13,3.293420639374073,3,1.0978068797913578,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_2_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau2_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,500.0,4.0,1.5023272278437849e-12,4.496368249125311,3,1.4987894163751037,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_4_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau4_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,700.0,3.0,1.0219007225809557e-12,4.649503729559334,3,1.549834576519778,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,400.0,3.0,1.6035628445980493e-12,4.95009364950096,3,1.65003121650032,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,1000.0,1.5,8.582290091795873e-13,6.34215428335322,3,2.1140514277844065,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1000_tau_1_5_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1000_tau1_500_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,700.0,2.0,1.0882716587559012e-12,7.391394210156305,3,2.4637980700521016,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_2_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau2_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,300.0,3.0,1.6464245108205458e-12,7.414932638445398,3,2.4716442128151326,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,200.0,3.0,1.6502979465318797e-12,7.990463801061777,3,2.663487933687259,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,100.0,3.0,1.6504590209704717e-12,8.011019465247823,3,2.670339821749274,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,50.0,3.0,1.6504590209704717e-12,8.011019465247823,3,2.670339821749274,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,800.0,3.0,8.390505460520283e-13,9.35694115584946,3,3.118980385283153,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_3_0_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau3_000_thick2_0,0,6000.0
ZTF18abjndhh,template,2.0,107.67239117497957,58434.359144675,nugent_iip,900.0,1.5,9.201823527140537e-13,9.65616936889277,3,3.2187231229642568,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_900_tau_1_5_thick_2_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td900_tau1_500_thick2_0,0,6000.0
