oid,mode,shell_thickness,phase_days,mjd,template_tag,tdust,tau,scale,chi2,dof,chi2_red,npz_path,folder,n_ul_active,tstar_dummy
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,700.0,4.0,1.0932038850474802e-12,7.685228855113314,3,2.561742951704438,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,500.0,3.0,1.4604141195667118e-12,8.908746434845314,3,2.969582144948438,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,800.0,2.0,1.0556192785642539e-12,12.289593190898284,3,4.096531063632761,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,800.0,4.0,8.966682372268009e-13,13.18155084610838,3,4.393850282036127,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,400.0,3.0,1.534910440951209e-12,13.784603286981696,3,4.594867762327232,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,300.0,3.0,1.556705234541589e-12,16.16094254509719,3,5.38698084836573,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,200.0,3.0,1.558584596700371e-12,16.594295382461553,3,5.531431794153851,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,100.0,3.0,1.5585854607325892e-12,16.60446935326822,3,5.534823117756074,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,50.0,3.0,1.5585854607325892e-12,16.60446935326822,3,5.534823117756074,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,1000.0,1.5,9.43572128332024e-13,17.572994663502534,3,5.857664887834178,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1000_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1000_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,900.0,4.0,7.536876137428918e-13,17.978299319821378,3,5.99276643994046,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_900_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td900_tau4_000_thick5_0,0,6000.0
