oid,M_Ni_fid,M_Ni_err_hi,M_Ni_err_lo,M_Ni_stat_hi,M_Ni_stat_lo,M_Ni_sys,Das_M_Ni_mean,Das_M_Ni_hi,Das_M_Ni_lo,Das_Ek_mean,Das_Ek_hi,Das_Ek_lo,in_sample
ZTF20abeohfn,,,,,,,0.02357,0.00083,0.00092,3.002e+51,1.2100000000000007e+50,1.2300000000000004e+50,False
ZTF19abbwfgp,,,,,,,0.1479,0.003,0.0022,4.1770000000000003e+51,2.280000000000004e+50,1.919999999999997e+50,False
ZTF21abhhrpj,,,,,,,0.1649,0.007,0.0074999999999999,4.636e+51,2.930000000000002e+50,1.0989999999999998e+51,False
ZTF22abssiet,,,,,,,0.01325,0.00027,0.0001899999999999,3.642e+51,1.0299999999999974e+50,1.6600000000000023e+50,False
ZTF21aavhnpk,,,,,,,0.06278,0.0023799999999999,0.00248,4.73e+51,3.3800000000000035e+50,3.029999999999993e+50,False
ZTF23abascqa,,,,,,,0.0634,0.0023299999999999,0.0019199999999999,2.978e+51,1.0199999999999976e+50,1.8199999999999996e+50,False
ZTF19abwztsb,,,,,,,0.04361,0.0017199999999999,0.00178,2.108e+51,1.0600000000000002e+50,1.180000000000001e+50,False
ZTF19actnwtn,,,,,,,0.3098,0.0161999999999999,0.0191999999999999,8.998e+51,4.959999999999987e+50,1.0570000000000011e+51,False
ZTF21aabygea,,,,,,,0.07815,0.00178,0.00118,5.013e+51,1.97e+50,2.270000000000001e+50,False
ZTF23abmoxlu,,,,,,,0.02586,0.0004899999999999,0.0001799999999999,2.873e+51,1.409999999999997e+50,1.5600000000000007e+50,False
ZTF22aakdbia,,,,,,,0.003121,2.499999999999985e-05,1.5000000000000256e-05,4.183e+50,3.11e+49,2.540000000000002e+49,False
ZTF21aafkwtk,,,,,,,0.06203,0.00135,0.00153,7.508e+51,3.2500000000000022e+50,3.469999999999992e+50,False
ZTF19aanrrqu,,,,,,,0.1135,0.0041999999999999,0.0036,3.508e+51,2.0800000000000007e+50,1.7000000000000016e+50,False
ZTF23aasbvab,,,,,,,0.0345,0.0005199999999999,0.00037,2.424e+51,1.25e+50,1.299999999999999e+50,False
ZTF18aatyqds,,,,,,,0.04125,0.0006999999999999,0.00103,1.233e+51,7.50000000000001e+49,6.000000000000005e+49,False
ZTF21aardvtn,,,,,,,0.05754,0.0023099999999999,0.00101,5.611e+51,2.609999999999994e+50,3.3500000000000008e+50,False
ZTF19acftfav,,,,,,,0.03702,0.00232,0.0007399999999999,1.43e+51,1.3500000000000015e+50,8.49999999999999e+49,False
ZTF19aapafit,,,,,,,0.08921,0.0010099999999999,0.0019799999999999,9.944000000000001e+51,5.200000000000036e+49,6.850000000000002e+50,False
ZTF24aarvbxj,,,,,,,0.1042,0.0054,0.0042299999999999,7.017e+51,4.8399999999999905e+50,4.870000000000006e+50,False
ZTF22aasojye,,,,,,,0.05159,0.00235,2.9999999999995308e-05,8.497000000000001e+51,3.189999999999997e+50,5.6999999999999936e+50,False
ZTF21aanzcuj,,,,,,,0.07981,0.0515899999999999,0.00115,8.374e+51,5.9400000000000016e+50,7.6167e+51,False
ZTF22abfavpu,,,,,,,0.04103,0.00144,0.0010399999999999,3.085e+51,1.3699999999999978e+50,1.96e+50,False
ZTF18aaxkqgy,,,,,,,0.06801,0.0029499999999999,0.00214,6.468e+51,3.2200000000000003e+50,3.110000000000012e+50,False
ZTF19aanhhal,,,,,,,0.07962,0.00148,0.0019799999999999,3.892e+51,2.639999999999997e+50,2.2300000000000017e+50,False
