oid,meanra,meandec
ZTF18aaszvfn,215.78286198249998,50.22081731
ZTF18abjndhh,173.17927988181816,62.4327607909091
ZTF18abzrgim,346.88559326538456,23.00579688846154
ZTF19aadnxnl,203.81118576055047,44.76628351651376
ZTF19aailepg,169.46773416818183,30.156519503030303
ZTF19aamwhat,221.88349729354837,-19.766051287096776
ZTF19aanhhal,205.41976943265306,55.66965415102041
ZTF19aaniore,246.96517040857142,62.69236402714285
ZTF19aanrrqu,183.41599302439025,16.12345684390244
ZTF19aapafit,247.72536573970586,46.588451336764706
ZTF19aarykkb,258.3414605043478,-9.964499113043479
ZTF19aawgxdn,247.76318794444447,41.153961596296284
ZTF19aazudta,264.23412316190473,21.104757790476192
ZTF19aazyvub,355.79272857083333,-2.9496401333333337
ZTF19abajxet,214.49106167894737,26.421571764473686
ZTF19abbnamr,357.7651682632979,20.14548753776596
ZTF19abbwfgp,258.32379353617023,43.784318217021266
ZTF19abqrhvt,3.81334093548387,-8.189415422580645
ZTF19abqrhvy,342.1862094796703,27.571824742857142
ZTF19abwztsb,271.16808419610396,21.634502235064936
ZTF19acbwejj,217.28390308860764,27.450176993670883
ZTF19acewuwn,350.07193399803924,35.493164845098036
ZTF19acftfav,352.7338730297873,15.491619346808513
ZTF19aclobbu,35.772014226923076,46.88241602820513
ZTF19acrcxri,359.69990974054053,14.74202977027027
ZTF19actnwtn,142.38250085555558,44.42224928095238
ZTF19actnyae,171.60216644999792,22.61972715
ZTF19acytcsg,155.11947947037038,50.46793244444444
ZTF21aaagypx,168.2830331868217,5.072024756589148
ZTF21aabygea,180.72534349634148,5.6147649036585365
ZTF21aafepon,27.542189030263156,27.645185794736836
ZTF21aafkwtk,205.33018590208334,24.495522591666667
ZTF21aagtqna,271.31378930963854,46.88221629036145
ZTF21aaipypa,165.7654720000001,5.098161900000026
ZTF21aakvroo,236.3800197209303,30.162036266279074
ZTF21aantsla,181.58510782040815,37.01310233605442
ZTF21aanzcuj,181.77179994399998,42.98843087466666
ZTF21aaobkmg,290.2325066723404,43.120735361702124
ZTF21aapkcmr,215.9278199939394,28.34603248181818
ZTF21aapliyn,206.3608356214286,47.91815775285715
ZTF21aaqugxm,173.6905635097222,42.96536071805556
ZTF21aavhnpk,312.5894114999992,1.141542600000038
ZTF21abfiuqf,241.409146328866,69.59479310206186
ZTF21abgilzj,257.5901851375,-3.2306965375
ZTF21abhhrpj,326.45869269014094,15.183700980281692
ZTF21abjcjmc,246.20417159649122,39.73465660350877
ZTF21ablvzhp,339.228017762591,-12.561668353278668
ZTF21abnlhxs,346.4852480266667,14.357733922666666
ZTF21abnudtb,337.70958780641024,36.56339832307692
ZTF21abouuat,341.90699007,39.88317987833334
ZTF21abrluay,22.909862522222223,31.989939957142855
ZTF21abvcxel,48.69747086200001,40.263259428
ZTF21acafqtj,112.2311713394737,20.58608614736842
ZTF21acgrrnl,95.53474079555555,50.429092168888886
ZTF21acgunkr,128.3966017809524,19.741696857142855
ZTF21acpqqgu,151.02786426666663,31.184058508333333
ZTF22aafsqud,207.0259234328125,12.07494940625
ZTF22aakdbia,181.36942719347826,50.526889499999996
ZTF22aakdqqg,224.68057212456137,11.630793029824561
ZTF22aaolwsd,357.77133741641023,20.152478406153847
