sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF19aclobbu,0.218,0.213359,0.022999999999999993,16.351,2.2109999999999985,3.901,89.13324708926261,1275000000000.0,6249000000000.0,6.14e+51,6.0085e+51,2.0509999999999994e+51,7.377e+51,1.5350000000000003e+51,1.3149999999999998e+51,8377.0,7343.0,600.0,-17.63,-17.63,3.3750000000000024e+21
ZTF21abnlhxs,0.01801,0.0014700000000000026,0.0012699999999999968,14.475,1.0719999999999992,0.782,348.4260457093575,4020000000000.0,2020000000000.0,4.502e+51,5.3799999999999995e+50,2.2300000000000017e+50,7.419e+51,6.740000000000001e+50,1.0319999999999994e+51,7220.0,354.0,268.0,-17.85,-17.85,3.3750000000000024e+21
ZTF23aanymcl,0.09065,0.005260000000000001,0.007000000000000006,10.586,0.8480000000000008,0.7669999999999995,360.6439557280437,9550000000000.0,10590000000000.0,4.913e+51,5.229999999999999e+50,5.200000000000003e+50,1.155e+51,3.477e+50,6.930000000000002e+50,8808.0,401.0,373.0,-17.24,-17.24,3.3750000000000024e+21
ZTF21abouuat,0.1376,0.007200000000000012,0.007500000000000007,22.085,1.1679999999999993,0.6129999999999995,341.09529969814577,2430000000000.0,1660000000000.0,9.826e+51,7.919999999999999e+50,1.0400000000000072e+50,3.827e+51,2.1000000000000008e+50,4.3e+50,8615.0,377.0,111.0,-17.56,-17.56,3.3750000000000024e+21
ZTF19acrcxri,0.1867,0.15536,0.010499999999999982,11.721,0.697000000000001,1.1489999999999991,837.286186574673,11920000000000.0,13390000000000.0,8.117e+51,1.7100000000000007e+51,8.290000000000002e+50,1.687e+51,3.2300000000000013e+50,5.159999999999997e+50,10930.0,1814.0,390.0,-18.42,-18.42,3.3750000000000024e+21
ZTF21aakvroo,0.1283,0.0165,0.007099999999999995,6.591,0.4249999999999998,1.8749999999999991,250.25154520626708,7898000000000.0,18540000000000.0,1.971e+51,2.119999999999997e+50,8.880000000000001e+50,9.389e+50,2.547e+50,8.111e+50,7111.0,300.0,526.0,-17.11,-17.11,3.3750000000000024e+21
ZTF22absqhkw,0.08623,0.0035700000000000037,0.004419999999999993,7.972,0.5880000000000001,0.6200000000000001,310.3349144746299,6590000000000.0,4813599999999.859,4.155e+51,4.379999999999998e+50,4.9499999999999976e+50,1.402e+51,2.5e+50,7.289999999999999e+50,9369.0,328.0,386.0,-17.4,-17.4,3.3750000000000024e+21
ZTF18abzrgim,0.2628,0.011999999999999955,0.024500000000000022,16.345,2.9659999999999993,1.4080000000000013,637.6311628575536,13370000000000.0,16380000000000.0,8.519e+51,2.3170000000000004e+51,1.0550000000000006e+51,8.425e+50,2.867999999999999e+50,5.575000000000001e+50,9297.0,858.0,343.0,-17.49,-17.49,3.3750000000000024e+21
ZTF21aapliyn,0.1057,0.004199999999999995,0.015299999999999994,19.326,3.34,0.7949999999999982,129.48109817450052,1985000000000.0,1442000000000.0,8.528e+51,2.0820400000000004e+51,4.950000000000004e+50,5.602e+51,1.71e+51,2.0499999999999997e+51,8599.0,591.0,159.0,-17.11,-17.11,3.3750000000000024e+21
ZTF21abjcjmc,0.0504,0.0018299999999999983,0.025865999999999195,7.76,3.2699999999999996,0.27200000000000024,1041.1096737099324,30910000000000.0,3340000000000.0,4.321e+51,2.1289199999999984e+51,1.7899999999999966e+50,5.884e+50,1.1770000000000005e+50,4.219999999999996e+49,9659.0,611.0,235.0,-18.02,-18.02,3.3750000000000024e+21
ZTF22abyohff,0.01079,0.009819099999999999,0.03732,17.309,7.9940000000000015,2.4279999999999973,158.25786977145322,5351000000000.0,6590000000000.0,3.464e+51,1.9929999999999998e+51,8.500000000000001e+50,2.333e+51,1.6683e+51,2.9479999999999996e+51,5805.0,810.0,289.0,-16.32,-16.32,3.3750000000000024e+21
ZTF19aazudta,0.1117,0.0116,0.03420000000000001,19.816,8.081,1.8870000000000005,530.6885151645824,20020000000000.0,19030000000000.0,8.685e+51,5.047e+51,9.800000000000004e+50,9.525e+50,3.3295999999999985e+50,6.764999999999999e+50,8542.0,1250.0,310.0,-16.98,-16.98,3.3750000000000024e+21
ZTF22aarycqo,0.1651,0.14516,0.2029,7.768,1.194,1.6789999999999994,952.709501221791,12010000000000.0,8890000000000.0,1.368e+51,5.756999999999999e+50,1.024e+51,8.366e+51,1.4940000000000008e+51,1.0459999999999998e+51,5432.0,1007.0,1177.0,-18.21,-19.3,3.3750000000000024e+21
ZTF19aamwhat,0.01157,0.0003899999999999997,0.0007600000000000003,9.167,0.347999999999999,0.5289999999999999,163.2887738967946,1020000000000.0,440000000000.0,1.042e+51,3.8000000000000123e+49,8.599999999999989e+49,7.939e+50,3.150000000000008e+49,7.339999999999996e+49,4364.0,104.0,143.0,-15.77,-16.01,3.3750000000000024e+21
