phase gmrmean gmrstd
0 -0.23179455412153124 0.45605213547237083
20 0.08709223125867212 0.27119783382065893
40 0.5033203458652301 0.28468348490833256
60 0.7435323415998373 0.26285124569158913
80 0.8556561586303686 0.2527921748048892
100 0.9254526275761418 0.2794239865587238
120 0.9561461400794988 0.30710858861036444
140 1.0148553397095106 0.30920565114702164
160 1.0624420488387867 0.2993655099027688
180 1.1227376804774865 0.2315629171171013
200 1.0813769328940432 0.25309569888862116
220 1.1558925300268517 0.17499892116110144
240 1.1344475364500488 0.2118929419666452
260 1.1665866003737164 0.22839860601730436
280 1.1751383289276325 0.22932474630469848
300 1.1505632977093931 0.2582047027917278
320 1.1363741332427104 0.1827840479707836
340 1.0571905812645936 0.24445870765885366
360 1.0750469372765625 0.0
380 0.4297764095322272 0.0
400 0.2747230007707706 0.47304660848635116
420 0.9040400729552225 0.25810515943390283
440 0.8249746462945087 0.17850246809557688
460 0.7951747715455625 0.03470172003758193
480 0.6771242829593047 0.08543159441288309
500 0.6392159829959668 0.021017393152331552
520 0.6600963923732946 0.2746386437257082
620 0.396275738145512 0.0
640 1.4819487961576634 0.0
680 0.3913776668564495 0.0
700 0.4224020128077986 0.05950447552391518
720 0.4337811352357126 0.0204139094760228
740 0.2590770690841005 0.24422900131749495
760 0.41412566032568066 0.033049583435058594
780 0.46287653770605885 0.0
800 0.3123874555076007 0.0
840 0.5210754665390631 0.0
